2016-1; § 13 ophæves.
2016-395; I § 9, stk. 1, ændres »Arbejdsskadestyrelsen løbende skal forhandle med for at revidere,« til: »indstiller til beskæftigelsesministeren,«.
2016-395; I § 9, stk. 3, ændres ». Formanden udnævnes efter indstilling fra Arbejdsskadestyrelsen,« til: »således:«.
2016-395; I § 9 indsættes efter stk. 3 som nyt stykke:
2016-395; I § 10 a, stk. 3, 1. pkt., ændres »eller af Arbejdsmarkedets Erhvervssygdomssikring m.fl.« til: »m.fl. eller af Arbejdsmarkedets Erhvervssikring af bidrag, jf. § 55«.
2016-395; I § 15, stk. 5 og 6, § 24, stk. 4, 2. pkt., og stk. 7, § 35, stk. 2, 1. pkt., og stk. 3, 1. og 2. pkt., og § 38, stk. 5, ændres »Arbejdsskadestyrelsens direktør fastsætter« til: »Beskæftigelsesministeren fastsætter«.
2016-395; I § 15, stk. 6, udgår »og Arbejdsmarkedets Erhvervssygdomssikring«.
2016-395; I § 17 a, stk. 4, 2. pkt., § 37, stk. 2, 1. pkt., § 38, stk. 1, 3. pkt., og § 52, stk. 2, ændres »styrelsen« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 25, stk. 3, 1. pkt., ændres »Arbejdsskadestyrelsens direktør bekendtgør« til: »Beskæftigelsesministeren bekendtgør efter indstilling fra bestyrelsen for Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 26, stk. 2, ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »af bidrag, jf. § 55«.
2016-395; I § 27, stk. 4, 5. pkt., ændres »Direktøren for Arbejdsskadestyrelsen fastsætter« til: »Beskæftigelsesministeren fastsætter efter indstilling fra bestyrelsen for Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 28, stk. 3, 2. pkt., ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring af bidrag, jf. § 55,«.
2016-395; I § 29, stk. 1, 1. pkt., og stk. 2, 1. pkt., ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring af bidrag, jf. § 55,«.
2016-395; I § 29, stk. 2, 2. pkt., § 35, stk. 1 og 7, § 38, stk. 4, 1. og 3. pkt., § 42, stk. 2, § 49, stk. 1, 2. pkt., og stk. 8, § 55, stk. 3, 2. pkt., to steder i stk. 4, i stk. 5, 1. og 3. pkt., og stk. 6, § 56, stk. 1, stk. 2, 1. pkt., og stk. 4, § 56 a, § 57, stk. 2, 4 og 5, § 58, stk. 2, 1. pkt., stk. 3, 1. og 2. pkt., stk. 4, 1. og 2. pkt., og stk. 5, § 58 a, stk. 1-3, § 58 b, stk. 3, 1. pkt., § 58 c, stk. 1, § 63 a, stk. 1, 1. og 2. pkt., stk. 3, 1. pkt., og stk. 4 og 6, § 65 a, stk. 1, 2. pkt., og nr. 2, og to steder i nr. 3, i § 65 b, stk. 1, 1. pkt., § 66, stk. 2 og 5 og stk. 8, 2. pkt., § 67, stk. 3, 1. pkt., og stk. 4, § 67 a, § 68, stk. 1, 1. pkt., og stk. 2, nr. 3, § 69, stk. 2, 1. pkt., § 69 a, stk. 1 og stk. 3, 1. og 2. pkt., § 71, stk. 3, § 72, stk. 2, 1. pkt., § 73, stk. 1 og 2, to steder i § 73 a, tre steder i § 74, i § 75, § 76 b, stk. 1, 1. pkt., to steder i stk. 1, 2. pkt., i stk. 1, 3.-5. og 7. pkt., stk. 2, 4.-7. pkt., og stk. 3, tre steder i § 76 f, stk. 1, og i stk. 2, § 78, 1. pkt., og § 82, stk. 1 og 2, ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 34, stk. 5, 2. pkt., § 58 a, stk. 2, og § 58 c, stk. 2, ændres »Direktøren for Arbejdsskadestyrelsen fastsætter« til: »Beskæftigelsesministeren fastsætter«.
2016-395; Efter § 34 indsættes:
2016-395; § 35, stk. 2, 2. pkt., ophæves.
2016-395; I § 35, stk. 4, 1. og 3. pkt., ændres »Arbejdsskadestyrelsens direktør kan« til: »Beskæftigelsesministeren kan«, og i stk. 4, 2. pkt., ændres »Direktøren kan« til: »Beskæftigelsesministeren kan«.
2016-395; § 35, stk. 7, affattes således:
2016-395; I § 35 a udgår »Pensionsstyrelsen,«.
2016-395; I § 38, stk. 1, 3. pkt., og stk. 2, 1. pkt., § 41, stk. 1, 1. pkt., og stk. 2, § 42, stk. 1, 1. pkt., § 44, stk. 1 og 5, og § 49, stk. 4, 2. pkt., ændres »Arbejdsskadestyrelsens« til: »Arbejdsmarkedets Erhvervssikrings«.
2016-395; I § 38, stk. 2, 5. pkt., ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »bidrag, jf. § 55«.
2016-395; § 39 a ophæves.
2016-395; I § 40, stk. 2, indsættes efter »instruktioner«: », herunder fra bestyrelsen for Arbejdsmarkedets Erhvervssikring,«.
2016-395; I § 40 a, stk. 2, ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring, jf. § 3 i lov om Arbejdsmarkedets Erhvervssikring,«.
2016-395; To steder i § 42, stk. 2, udgår », Arbejdsmarkedets Erhvervssygdomssikring«.
2016-395; I § 44, stk. 1, nr. 3, og § 44, stk. 5, ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »bestyrelsen for Arbejdsmarkedets Tillægspension«.
2016-395; I § 44, stk. 5, indsættes som 2. pkt.:
2016-395; I § 45 ændres »Arbejdsmarkedets Erhvervssygdomssik­r‌ings« til: »Arbejdsmarkedets Erhvervssikrings afgørelser efter §§ 55-58 c«.
2016-395; I § 48, stk. 4, 1. og 2. pkt., ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring, jf. § 3 i lov om Arbejdsmarkedets Erhvervssikring,«.
2016-395; § 48, stk. 6, 3. pkt., affattes således:
2016-395; I § 48, stk. 6, 4. pkt., og § 49, stk. 1, 2. pkt., ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring af bidrag, jf. § 55«.
2016-395; § 48, stk. 6, 6. og 7. pkt., ophæves, og i stedet indsættes:
2016-395; § 49, stk. 1, 4. og 5. pkt., ophæves, og i stedet indsættes:
2016-395; I § 49, stk. 5, ændres »Arbejdsmarkedets Erhvervssygdomssikrings ydelser« til: »Arbejdsmarkedets Erhvervssik­r‌ings ydelser som led i opgavevaretagelsen, jf. § 3 i lov om Arbejdsmarkedets Erhvervssikring,«.
2016-395; I § 49, stk. 8, 2. pkt., indsættes efter »erhvervssygdomme«: »af bidrag, jf. § 55«.
2016-395; Overskriften før § 50 affattes således:
2016-395; I § 51, stk. 1, 3. pkt., ændres »fastsat af Arbejdsskadestyrelsen« til: »fastsat af beskæftigelsesministeren efter indstilling fra bestyrelsen for Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 52, stk. 1, og § 57, stk. 1, ændres »§ 35, stk. 3 og 4« til: »§ 35, stk. 7,«.
2016-395; Overskriften før § 55 affattes således:
2016-395; § 55, stk. 1, affattes således:
2016-395; I § 56, stk. 3, og § 57, stk. 6, 1. pkt., ændres »Arbejdsmarkedets Erhvervssygdomssikring har« til: »Arbejdsmarkedets Erhvervssikring har som led i opgavevaretagelsen, jf. § 3 i lov om Arbejdsmarkedets Erhvervssikring,«.
2016-395; I § 57, stk. 1, ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring af bidrag efter § 55«.
2016-395; I § 57, stk. 4, ændres »4.-6. pkt.« til: »4. og 5. pkt.«
2016-395; Overskriften før § 58 ophæves.
2016-395; I § 58, stk. 1, ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring, jf. § 3 i lov om Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 58 a, stk. 1, indsættes efter »henfører«: »som led i opgavevaretagelsen, jf. § 3 i lov om Arbejdsmarkedets Erhvervssikring,«.
2016-395; I § 58 b, stk. 3, 2. pkt., ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Bestyrelsen for Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 58 c, stk. 2, ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »bestyrelsen for Arbejdsmarkedets Erhvervssikring«.
2016-395; § 59 affattes således:
2016-395; I § 60, stk. 1, 1. pkt., ændres »§ 48, stk. 6, og § 52, stk. 1 og 5, eller af Arbejdsmarkedets Erhvervssygdomssikring efter § 57« til: »§ 48, stk. 6, § 52, stk. 1 og 5, og § 57«.
2016-395; I § 60, stk. 1, 2. pkt., ændres »Arbejdsskadestyrelsens direktør« til: »beskæftigelsesministeren«.
2016-395; Overskriften til kapitel 11 affattes således:
2016-395; §§ 61 og 62 ophæves, og i stedet indsættes:
2016-395; I § 63 a, stk. 3, 1. pkt., og stk. 8, 1. og 2. pkt., § 65 j, stk. 2, 2. pkt., og stk. 3, § 65 m, stk. 1, § 66, stk. 5, § 68, stk. 2, nr. 3, og § 71, stk. 3 og 4, stk. 5, 1. pkt., og stk. 6, 1. pkt., ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »bestyrelsen for Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 63 a, stk. 3, nr. 2, og stk. 5, 3. pkt., § 65 b, stk. 3, 2. pkt., § 65 e, stk. 1, 1. pkt., to steder i § 65 f, stk. 1, 1. pkt., i § 65 i, 1. pkt., § 65 l, § 65 m, stk. 2, § 66, stk. 1, 1. pkt., § 67 a, § 68, stk. 1, 2. pkt., § 68 a, stk. 1, 1. pkt., § 69, stk. 1, § 69 a, stk. 1, § 70, stk. 1, 1. pkt., og nr. 4, § 70 a, stk. 1, § 72, stk. 1 og stk. 2, 1. pkt., § 73 a, og § 76 b, stk. 1, 3. og 5. pkt., og stk. 2, 3., 4. og 6. pkt., ændres »Arbejdsmarkedets Erhvervssygdomssikrings« til: »Arbejdsmarkedets Erhvervssik­rings«.
2016-395; Overskriften før § 63 b ophæves.
2016-395; §§ 63 b og 63 c ophæves.
2016-395; I § 69 a, stk. 3, 1. og 2. pkt., § 73, stk. 1, og § 74, 2. pkt., ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Bestyrelsen for Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 71, stk. 1, udgår », § 63 b«.
2016-395; § 71, stk. 4-10, ophæves.
2016-395; I § 73 a ændres »Arbejdsmarkedets Erhvervssygdomssikrings pligt« til: »bestyrelsen for Arbejdsmarkedets Erhvervssikrings pligt«.
2016-395; § 76 a, stk. 2, ophæves.
2016-395; § 80 affattes således:
2016-395; I § 81, stk. 1, ændres »Styrelsen« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 81, stk. 3, ændres »Arbejdsskadestyrelsens direktør« til: »beskæftigelsesministeren efter indstilling fra bestyrelsen for Arbejdsmarkedets Erhvervssikring«.
2016-395; § 84 ophæves.
2016-395; I § 88, 4. pkt., ændres »Arbejdsskadestyrelsen i samarbejde med Finanstilsynet« til: »beskæftigelsesministeren i samarbejde med erhvervs- og vækstministeren«.
2016-395; I § 2, stk. 1, og to steder i stk. 2, i § 5, stk. 2, og § 6, 2. pkt., ændres »Arbejdsskadestyrelsen« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 6, 1. pkt., ændres »Arbejdsskadestyrelsens« til: »Arbejdsmarkedets Erhvervssikrings«.
2016-395; Overalt i loven bortset fra § 8, stk. 8, ændres »Arbejdsskadestyrelsen« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 8, stk. 8, ændres »direktøren for Arbejdsskadestyrelsen« til: »beskæftigelsesministeren«.
2016-395; Overalt i loven ændres »Arbejdsskadestyrelsen« til: »Arbejdsmarkedets Erhvervssikring«, og »Arbejdsskadestyrelsens« ændres til: »Arbejdsmarkedets Erhvervssikrings«.
2016-395; I § 1, stk. 1, og to steder i stk. 5, 1. pkt., og i § 3 ændres »Arbejdsskadestyrelsen« til: »Arbejdsmarkedets Erhvervssikring«, og i § 1, stk. 4, og § 2, stk. 1, ændres »Arbejdsskadestyrelsens« til: »Arbejdsmarkedets Erhvervssikrings«.
2016-395; I § 1 ændres »Arbejdsskadestyrelsen« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; § 67, stk. 4, nr. 4, ophæves.
2016-395; I § 68, stk. 1, nr. 2, ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring, for så vidt angår opgavevaretagelsen vedrørende finansiering af erhvervssygdomsområdet, jf. § 3 i lov om Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 68, stk. 2, 2. pkt., og stk. 3, 1. og 2. pkt., ændres »Arbejdsskadestyrelsen« til: »Arbejdsmarkedets Erhvervssikring som led i opgavevaretagelsen i medfør af § 2, stk. 1, i lov om Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 68, stk. 3, 2. pkt., ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring, jf. stk. 1, nr. 2«.
2016-395; I § 68, stk. 5, ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring, for så vidt angår opgavevaretagelsen vedrørende finansiering af erhvervssygdomsområdet, jf. § 3 i lov om Arbejdsmarkedets Erhvervssikring,«.
2016-395; I § 72 indsættes efter stk. 2 som nyt stykke:
2016-395; I § 72 indsættes som stk. 5:
2016-395; I § 74 a, stk. 7, 1. pkt., og stk. 9, 1. pkt., § 74 c, stk. 3, 1. pkt., og § 78, stk. 5, ændres »Direktøren for Arbejdsskade-styrelsen« til: »Direktøren for Styrelsen for Arbejdsmarked og Rekruttering«.
2016-395; I § 74 f, stk. 3, 2. pkt., og § 77 a, stk. 9, 2. pkt., ændres »direktøren for Arbejdsskadestyrelsen« til: »direktøren for Styrelsen for Arbejdsmarked og Rekruttering«.
2016-395; I § 86, stk. 4, 3. pkt., og stk. 5, § 88, stk. 3, 1. pkt., og § 91, stk. 2 og stk. 9, 1. pkt., udgår »og direktøren for Arbejdsskadestyrelsen«.
2016-395; I § 90 b, stk. 2, 1. pkt., udgår »og Arbejdsskadestyrelsen«.
2016-395; I § 91, stk. 6, § 98, stk. 1, 1. og 3. pkt., og stk. 2, og § 99, stk. 2, 1. pkt., og stk. 3, 1. og 2. pkt., udgår »eller direktøren for Arbejdsskadestyrelsen«.
2016-395; I § 92 udgår »direktøren for Arbejdsskadestyrelsen og«.
2016-395; § 94 affattes således:
2016-395; I § 99, stk. 1, 1. pkt., udgår »og direktøren for Arbejdsskadestyrelsens«.
2016-395; I § 99, stk. 4, udgår »eller direktøren for Arbejdsskadestyrelsens«.
2016-395; I § 100 b, stk. 2, udgår », Arbejdsskadestyrelsen«.
2016-395; I § 132, 1. pkt., ændres »Arbejdsskadestyrelsen« til: »Styrelsen for Arbejdsmarked og Rekruttering«.
2016-395; I § 12, stk. 2 og stk. 2, nr. 2, ændres »Arbejdsskadestyrelsen« til: »Styrelsen for Arbejdsmarked og Rekruttering«.
2016-395; I § 24 d, stk. 4, 2. pkt., og § 26 c, stk. 1, ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 5 c, stk. 4, 2. pkt., ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 11, stk. 2, nr. 10, og § 361, stk. 1, nr. 1, ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 230 og § 250, stk. 2, 2. pkt., ændres »Arbejdsskadestyrelsen« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 21, stk. 3, nr. 4, litra k, ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 11 b, stk. 1, 2. pkt., og stk. 3, ændres »Arbejdsskade­styrelsen« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I overskriften før § 10 og i § 10, stk. 1, 1. og 3. pkt., ændres »Arbejdsskadestyrelsen« til: »Arbejdsmarkedets Erhvervssikring«, og i § 10, stk. 2 og 3, ændres »Arbejdsskadestyrelsens« til: »Arbejdsmarkedets Erhvervssikrings«.
2016-395; I § 3, stk. 3, 1. pkt., ændres »Arbejdsskadestyrelsen« til: »Arbejdsmarkedets Erhvervssikring«, og i stk. 3, 2. pkt., ændres »Arbejdsskadestyrelsens« til: »Arbejdsmarkedets Erhvervssikrings«.
2016-395; I § 37, stk. 1, 1. pkt., og § 58, stk. 1, 1. pkt., ændres »Arbejdsskadestyrelsen« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I lovens titel, § 5, stk. 2, 1. pkt., § 6, stk. 2, § 8, stk. 2, stk. 3, 1. pkt., og stk. 4, 1. pkt., og § 9, stk. 1, ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 1 ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring, for så vidt angår opgavevaretagelsen efter § 3 i lov om Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 3, stk. 1, nr. 2, og to steder i stk. 6, 1. pkt., og i overskriften til bilag 1 ændres »Arbejdsskadestyrelsen« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 3, stk. 6, 1. pkt., og § 4, stk. 3, ændres »Arbejdsmarkedets Erhvervssygdomssikrings« til: »Arbejdsmarkedets Erhvervssikrings«.
2016-395; I § 3, stk. 6, 3. pkt., ændres »efter at Arbejdsskadestyrelsen har underrettet Arbejdsmarkedets Erhvervssygdomssikring om summen« til: »efter at Arbejdsmarkedets Erhvervssikring har opgjort summen«.
2016-395; I § 4, stk. 1, 1. pkt., og stk. 2, 1. pkt., og § 5, stk. 1, ændres »Arbejdsmarkedets Erhvervssygdomssikring skal« til: »Arbejdsmarkedets Erhvervssikring skal som led i opgavevaretagelsen efter § 3 i lov om Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 6, stk. 1, og § 8, stk. 1, 1. pkt., ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring som led i opgavevaretagelsen, jf. § 3 i lov om Arbejdsmarkedets Erhvervssikring,«.
2016-395; I § 8, stk. 1, 2. pkt., ændres »Arbejdsmarkedets Erhvervssygdomssikring afrunde« til: »beløbet afrundes«.
2016-395; § 8, stk. 5, 1. pkt., affattes således:
2016-395; I § 8, stk. 5, 2. pkt., ændres »Arbejdsskadestyrelsens« til: »Arbejdsmarkedets Erhvervssikrings«.
2016-395; I § 3, stk. 1, nr. 12, ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 16, nr. 2, ændres »Arbejdsmarkedets Erhvervssygdomssikring« til: »Arbejdsmarkedets Erhvervssikring«.
2016-395; I § 12 d, 1. og 2. pkt., ændres »Arbejdsskadestyrelsen« til: »Arbejdsmarkedets Erhvervssikring«.
2016-396; § 2, nr. 2-6, og § 5, stk. 2, ophæves.
2016-399; I § 47, stk. 6, ændres »stk. 8 og 9« til: »stk. 7 og 8«.
2016-399; § 47, stk. 7, ophæves.
2016-399; I § 47, stk. 9, 1. og 2. pkt., der bliver stk. 8, 1. og 2. pkt., ændres »stk. 8« til: »stk. 7«.
2016-399; I § 47, stk. 10, der bliver stk. 9, ændres »stk. 4-9« til: »stk. 4-8«, og »stk. 11« ændres til: »stk. 10«.
2016-399; I § 47, stk. 11, 1. pkt., der bliver stk. 10, 1. pkt., ændres »stk. 10« til: »stk. 9«.
2016-399; I § 49, stk. 4, 2. pkt., ændres »stk. 4-8 eller stk. 10, nr. 1 eller 2« til: »stk. 4-7 eller stk. 9, nr. 1 eller 2«.
2016-399; I § 50, stk. 2, ændres »stk. 10, nr. 1 og 2« til: »stk. 9, nr. 1 og 2«, og »stk. 8, nr. 2 og 3« ændres til: »stk. 7, nr. 2 og 3«.
2016-399; I § 51, stk. 4, 1. pkt., ændres »stk. 4-8 og stk. 10, nr. 1 og 2« til: »stk. 4-7 og stk. 9, nr. 1 og 2«.
2016-399; I § 52, stk. 4, 1. pkt., ændres »stk. 8« til: »stk. 7«.
2016-399; I § 66, stk. 2, ændres »§ 47, stk. 7 og 11« til: »§ 47, stk. 10«.
2016-400; I lovens fodnote indsættes efter »1999/63/EF (EU-Tidende, nr. L 124 af 20. maj 2009, side 30-50)«: », og dele af Europa-Parlamentets og Rådets direktiv 2013/54/EU af 20. november 2013 om visse af flagstatens ansvar for overholdelse og håndhævelse af konventionen om søfarendes arbejdsforhold af 2006, EU-Tidende 2013, nr. L 329, side 1.«
2016-400; I § 10 a, stk. 1, nr. 1, indsættes efter »hygiejne«: »og fornøden lægebehandling«.
2016-400; § 10 a, stk. 4, ophæves.
2016-400; § 42, stk. 1, affattes således:
2016-400; § 42, stk. 2-4, ophæves.
2016-400; § 49, nr. 25 og 26, ophæves, og i stedet indsættes:
2016-400; § 73 a affattes således:
2016-400; Efter § 73 b indsættes:
2016-400; I § 74, stk. 1, ændres », loven og de regler, der er udstedt i medfør af denne,« til: »loven, de regler, der er udstedt i medfør af loven, og aftalen, der er indgået mellem European Community Shipowners’ Association (ECSA) og European Transport Workers’ Federation (EFT) om konventionen om søfarendes ansættelsesforhold af 2006,«.
2016-400; Som fodnote 2 til lovens titel indsættes:
2016-400; § 17, stk. 4, ophæves, og i stedet indsættes:
2016-400; I § 20 a, stk. 1, 1. pkt., ændres »og 471« til: », 471 og 486«.
2016-400; I § 20 a, stk. 2, ændres »stk. 7 og 8« til: »stk. 8 og 9«.
2016-400; I overskriften til kapitel 9 indsættes efter »tilbageholdelser«: »m.v.«
2016-400; Efter kapitel 11 indsættes:
2016-400; § 43 affattes således:
2016-400; § 166 affattes således:
2016-400; § 167, stk. 2, ophæves.
2016-400; § 168 affattes således:
2016-400; Efter § 170 indsættes i kapitel 8 a:
2016-400; I § 202, stk. 4, 2. pkt., indsættes efter »oplysnings- og bidragspligt«: », herunder om forpligtelse til at indsende en revisorerklæring om rigtigheden af de indberettede oplysninger«.
2016-400; Efter kapitel 18 indsættes i afsnit VI:
2016-400; I § 514, stk. 1, 1. pkt., ændres »§ 168, stk. 1 og 2,« til: »§ 168, stk. 1, § 170 a, stk. 2 og 3,«.
2016-400; I § 515 b ændres »§§ 153, 186, 197, 198, 403 a, 403 b, 403 c og 471« til: »§ 153, § 170 a, stk. 2 og 3, og §§ 186, 197, 198, 403 a-403 c, 471 og 486«.
2016-400; I § 16 indsættes efter stk. 1 som nye stykker:
2016-400; § 4, stk. 2, affattes således:
2016-400; I § 6, stk. 2, ændres i skemaet med titlen Øvrige skibe »Styrmand af 1. grad (STCW-regl. III/3 as Chief Mate)« til: »Styrmand af 1. grad (STCW-regl. II/2 as Chief Mate)«.
2016-400; I § 13, stk. 1, 1. pkt., ændres », jf. lov nr. 476 af 9. juni 2004 om adgang til udøvelse af visse erhverv i Danmark« til: »i henhold til lov om adgang til udøvelse af visse erhverv i Danmark«.
2016-400; Efter kapitel 9 indsættes:
2016-410; I § 42, stk. 4, 2. pkt., ændres »90« til: »100«.
2016-410; I § 118, stk. 2, 2. pkt., indsættes efter »hastighedsovertrædelser på«: »motortrafikveje med en hastighedsgrænse på 100 km i timen og«.
2016-410; I § 118, stk. 4, indsættes efter »end«: »motortrafikveje med en hastighedsgrænse på 100 km i timen og«.
2016-411; I § 5, stk. 1, indsættes som nr. 3:
2016-411; § 5, stk. 3, ophæves.
2016-411; § 5 a ophæves.
2016-411; I § 8, stk. 1, 1. pkt., ændres »jf. § 5 a« til: »jf. § 5, stk. 1, nr. 3«.
2016-411; I § 8, stk. 1, indsættes efter 1. pkt.:
2016-411; § 8, stk. 3, affattes således:
2016-411; I § 19, stk. 1, udgår »og 4«.
2016-411; I § 19, stk. 2, indsættes som 2. pkt.:
2016-411; § 19, stk. 3, ophæves.
2016-411; § 19, stk. 8, der bliver stk. 7, affattes således:
2016-411; I § 19, stk. 11, der bliver stk. 10, ændres »efter stk. 10« til: »efter stk. 9«.
2016-411; I § 19, stk. 12, der bliver stk. 11, ændres »stk. 4« til: »stk. 3«.
2016-411; I § 26, stk. 1, udgår »§ 26 a, og«.
2016-411; I § 26, stk. 2, ændres »§ 19, stk. 1, 8 og 10« til: »§ 19, stk. 1, 7 og 9«.
2016-411; § 26, stk. 3, ophæves.
2016-411; I § 26, stk. 7, 1. pkt., der bliver stk. 6, 1. pkt., ændres »stk. 1-6« til: »stk. 1-5«.
2016-411; I § 26, stk. 7, 2. pkt., der bliver stk. 6, 2. pkt., ændres »stk. 1 og 6« til: »stk. 1 og 5«.
2016-411; I § 26, stk. 7, 3. pkt., der bliver stk. 6, 3. pkt., ændres »§ 19, stk. 10« til: »§ 19, stk. 9«.
2016-411; I § 26, stk. 10, der bliver stk. 9, ændres »stk. 7« til: »stk. 6«.
2016-411; § 26 a ophæves.
2016-411; I § 22, stk. 1, nr. 4, indsættes efter »tilmelding til og afmelding fra prøver,«: »herunder eventuelle krav til studieaktivitet,«.
2016-411; I § 22 indsættes efter stk. 1 som nyt stykke:
2016-411; I § 10, stk. 1, nr. 1, indsættes efter »tilmelding af studerende til uddannelseselementer«: », eventuelle krav til studieaktivitet«.
2016-411; I § 12, stk. 1, nr. 4, indsættes efter »tilmelding til og afmelding fra prøver«: »og eventuelle krav til studieaktivitet«.
2016-411; § 12, stk. 1, nr. 1, affattes således:
2016-411; § 12, stk. 1, nr. 2, ophæves.
2016-411; I § 12, stk. 1, nr. 7, der bliver nr. 6, ændres »nr. 6« til: »nr. 5«.
2016-426; I § 4, stk. 1, indsættes efter »medicinsk udstyr,«: »tobaksvarer og lignende nikotinholdige produkter,«.
2016-426; I § 79 a, stk. 1, 1. pkt., ændres »lovgivningen om røgfri miljøer.« til: »lovgivningen om røgfri miljøer og kapitel 2 i lov om elektroniske cigaretter m.v.«
2016-426; I § 79 a, stk. 1, 2. pkt., ændres »lovgivningen om røgfri miljøer« til: »lovgivningen om røgfri miljøer og kapitel 2 i lov om elektroniske cigaretter m.v.«
2016-426; I § 20 a, stk. 1, 1. pkt., ændres »lov om røgfri miljøer« til: »lov om røgfri miljøer og kapitel 2 i lov om elektroniske cigaretter m.v.«
2016-426; I § 20 a, stk. 3, 2. pkt., ændres »lov om røgfri miljøer« til: »lov om røgfri miljøer og kapitel 2 i lov om elektroniske cigaretter m.v.«
2016-426; I § 150 f, stk. 1, 1. pkt., ændres »lovgivningen om røgfri miljøer.« til: »lovgivningen om røgfri miljøer og kapitel 2 i lov om elektroniske cigaretter m.v.«
2016-426; I § 150 f, stk. 1, 2. pkt., ændres »lovgivningen om røgfri miljøer« til: »lovgivningen om røgfri miljøer og kapitel 2 i lov om elektroniske cigaretter m.v.«
2016-426; I § 66 a, stk. 1, 1. pkt., ændres »lovgivningen om røgfri miljøer.« til: »lovgivningen om røgfri miljøer og kapitel 2 i lov om elektroniske cigaretter m.v.«
2016-426; I § 66 a, stk. 1, 2. pkt., ændres »loven« til: »lovgivningen om røgfri miljøer og kapitel 2 i lov om elektroniske cigaretter m.v.«
2016-427; I overskriften før § 1 indsættes efter »anvendelsesområde«: »m.v.«
2016-427; Efter § 4 indsættes:
2016-427; I fodnoten til lovens titel udgår »dele af Rådets direktiv 85/337/EØF af 27. juni 1985 om vurdering af visse offentlige og private projekters indvirkning på miljøet (VVM-direktivet), EF-Tidende 1985/337/EØF, nr. L 175, side 40, som ændret ved direktiv 97/11/EF af 3. marts 1997, EF-Tidende 1997, nr. L 73, side 5,«.
