2013-1101; I § 15, stk. 3, udgår », 12 uger i 2011 og 8 uger i 2012«.
2013-615; I § 34 a, stk. 5, ændres »stk. 3, nr. 1-7« til: »stk. 3, nr. 2-8«.
2013-615; I § 34 a, stk. 6, ændres »stk. 3, nr. 8 og 9« til: »stk. 3, nr. 9 og 10«.
2013-615; §§ 34 c-f ophæves, og i stedet indsættes:
2013-615; I § 199, stk. 6, ændres »§ 210, stk. 6, nr. 13 og 17« til: »§ 210, stk. 6, nr. 14 og 18«.
2013-615; I § 210, stk. 6, indsættes før nr. 1 som nyt nummer:
2013-615; I § 210, stk. 8, ændres »stk. 6, nr. 16« til: »stk. 6, nr. 17«.
2013-615; I § 210, stk. 10, ændres »stk. 6, nr. 7« til: »stk. 6, nr. 8«.
2013-615; I § 210, stk. 11 og 12, ændres »stk. 6, nr. 17« til: »stk. 6, nr. 18«.
2013-615; I § 24 b, stk. 1, nr. 3, ændres »investeringsforeninger, specialforeninger, hedgeforeninger« til: »danske UCITS, kapitalforeninger«, og efter »omfattet af« indsættes: »§ 143, stk. 1, nr. 2 og 3, i«.
2013-615; I § 24 b, stk. 2, ændres »investeringsforeninger, specialforeninger, hedgeforeninger« til: »danske UCITS, kapitalforeninger«, og efter »omfattet af« indsættes: »§ 143, stk. 1, nr. 2 og 3, i«.
2013-615; § 26 b, stk. 1, nr. 7, affattes således:
2013-615; § 26 d, stk. 1, nr. 4, affattes således:
2013-615; § 26 e, stk. 4, 1. pkt., affattes således:
2013-615; Efter § 26 g indsættes i kapitel 8:
2013-615; I § 5 a, stk. 1, nr. 3, ændres »investeringsforeninger, specialforeninger, hedgeforeninger« til: »danske UCITS, kapitalforeninger«, og efter »omfattet af« indsættes: »§ 143, stk. 1, nr. 2 og 3, i«.
2013-615; I § 5 a, stk. 2, ændres »investeringsforeninger, specialforeninger, hedgeforeninger« til: »danske UCITS, kapitalforeninger«, og efter »omfattet af« indsættes: »§ 143, stk. 1, nr. 2 og 3, i«.
2013-615; I § 5 a indsættes efter stk. 8 som nyt stykke:
2013-615; I § 5 a, stk. 9, der bliver stk. 10, ændres »stk. 1-8« til: »stk. 1-9«.
2013-615; § 6 b, stk. 1, nr. 7, affattes således:
2013-615; § 6 d, stk. 1, nr. 4, affattes således:
2013-615; § 6 e, stk. 4, 1. pkt., affattes således:
2013-615; Efter § 6 h indsættes:
2013-615; I § 10, stk. 1, ændres »§ 5 a, stk. 3-9« til: »§ 5 a, stk. 3-10«.
2013-615; I § 68, stk. 1, 2. pkt., ændres »§§ 69-70 a« til: »§§ 69-70 a, 70 d og 70 e«.
2013-615; § 69, stk. 1, nr. 7, affattes således:
2013-615; § 70, stk. 1, nr. 4, affattes således:
2013-615; § 70 a, stk. 4, 1. pkt., affattes således:
2013-615; § 70 b affattes således:
2013-615; § 70 c affattes således:
2013-615; Efter § 70 c indsættes før overskriften før § 71:
2013-615; I § 71, stk. 1, ændres »§§ 63-70 c« til: »§§ 63-70 e«.
2013-616; I § 2, stk. 2, 1. pkt., § 38, stk. 3, § 41, stk. 4, 1. pkt., § 44, stk. 1, § 60, stk. 3, 1. pkt., § 160, 3. pkt., § 181, 4. pkt., og § 190, stk. 2, 3. pkt., ændres »Erhvervs- og Selskabsstyrelsen« til: »Erhvervsstyrelsens it-system«.
2013-616; I § 3, stk. 1, indsættes efter »§ 2«: », stk. 1-3,«.
2013-616; I § 4, stk. 2, ændres »80.000« til: »50.000«.
2013-616; I § 5 indsættes efter nr. 13 som nyt nummer:
2013-616; I § 5, nr. 17, der bliver nr. 18, indsættes efter »anpartsselskab«: », herunder et iværksætterselskab,«.
2013-616; I § 5 indsættes efter nr. 20, der bliver nr. 21, som nyt nummer:
2013-616; I § 5, nr. 22, der bliver nr. 24, ændres »et selskab« til: »boet efter et kapitalselskab«.
2013-616; I § 5 indsættes efter nr. 24, der bliver nr. 26, som nyt nummer:
2013-616; I § 5, nr. 28, der bliver nr. 31, og § 134, 1. pkt., ændres »et datterselskab« til: »en dattervirksomhed«.
2013-616; I § 17, stk. 1, indsættes efter »overholdt«: », herunder at kapitalgrundlaget er til stede«.
2013-616; I § 20, stk. 1, indsættes efter »truffet af«: »stifterne,«.
2013-616; I § 24, stk. 1, ændres »oprettes« til: »stiftes«.
2013-616; I § 27, stk. 1, nr. 4, § 144, stk. 4, 2. pkt., § 156, stk. 2, nr. 3, § 225, stk. 1, nr. 4, og § 350, stk. 1, nr. 3, ændres »årsrapport« til: »årsregnskab m.v.«
2013-616; I § 28, nr. 5, indsættes efter »ledelsesorganer,«: »herunder oplysning om den valgte ledelsesstruktur, jf. § 111, og i aktieselskaber oplysning om antallet eller mindste og højeste antal medlemmer af de forskellige ledelsesorganer og eventuelle suppleanter samt valgperioden for medlemmerne af det øverste ledelsesorgan,«.
2013-616; § 32, stk. 4, affattes således:
2013-616; § 33, stk. 1, affattes således:
2013-616; § 36, stk. 3, affattes således:
2013-616; I § 37, stk. 1, 2. pkt., indsættes efter »kan stifterne«: »alene«.
2013-616; I § 38, stk. 1, nr. 1, ændres »Aktiver, som er individuelt målt og præsenteret i et års- eller koncernregnskab for det forudgående regnskabsår, der er udarbejdet« til: »Aktiver og forpligtelser (nettoaktiver), som er målt til dagsværdi og præsenteret individuelt i et års- eller koncernregnskab for det forudgående regnskabsår. Års- eller koncernregnskabet skal være udarbejdet«.
2013-616; I § 38, stk. 2, nr. 1, ændres »aktivet og dets værdi« til: »aktiver og forpligtelser (nettoaktiver) og disses værdier«.
2013-616; I § 40, stk. 6, ændres »en bestemmende kapitalpost i et andet kapitalselskab« til: »en bestemmende post ejerandele i en anden virksomhed«.
2013-616; I § 41, stk. 2, ændres »stiftelsesdato, der ligger senere end« til: »dato for retsvirkning, jf. § 40, stk. 3-5, der ligger efter«.
2013-616; § 42 ophæves, og i stedet indsættes:
2013-616; I § 43, stk. 1, ændres »§ 42, stk. 1« til: »§ 42 a, stk. 1«.
2013-616; § 44, stk. 1, affattes således:
2013-616; I § 44, stk. 2, ændres »§§ 42« til: »§§ 42 a«.
2013-616; I § 51, stk. 5, 2. pkt., ændres »§ 58, stk. 2« til: »§ 58, stk. 1 og 2«.
2013-616; § 52 affattes således:
2013-616; § 53, stk. 1, 3. pkt., affattes således:
2013-616; I § 53 indsættes som stk. 4:
2013-616; § 54 affattes således:
2013-616; I § 55, stk. 3, 2. pkt., indsættes efter »marked«: »eller en multilateral handelsfacilitet«.
2013-616; § 59 affattes således:
2013-616; I § 60, stk. 4, ændres »kapitalandelenes løbenummer og dennes størrelse eller pålydende værdi« til: »kapitalandelenes størrelse eller pålydende værdi, og for ihændehaveraktier angives desuden løbenummer«.
2013-616; I § 61, stk. 4, affattes således:
2013-616; I § 63, 2. pkt., ændres »§ 4, stk. 3,« til: »§ 4, stk. 1,«.
2013-616; I § 64, stk. 1, udgår », jf. § 7, stk. 1, nr. 2, i lov om værdipapirhandel m.v.,«.
2013-616; I § 67, stk. 1, 1. pkt., ændres »overdragelse« til: »overgang«.
2013-616; I § 67, stk. 2, ændres »domsforhandlingen« til: »hovedforhandlingen«.
2013-616; §§ 70-72 affattes således:
2013-616; § 74 affattes således:
2013-616; § 75 ophæves.
2013-616; § 80, stk. 4, ophæves.
2013-616; § 84 affattes således:
2013-616; § 85, 2. pkt., ophæves, og i stedet indsættes:
2013-616; I § 88, stk. 1, nr. 3, ændres »årsrapporter« til: »årsregnskaber m.v.«
2013-616; I § 96, stk. 2, ændres »§ 92, stk. 1 eller 5« til: »§ 92, stk. 1«.
2013-616; I § 115, nr. 5, ændres »forfalder, og kapitalselskabet« til: »forfalder, og bestyrelsen«.
2013-616; I § 116, nr. 5, ændres »forfalder, og kapitalselskabet« til: »forfalder, og tilsynsrådet«.
2013-616; I § 118, stk. 2, 2. pkt., ændres »Kapitalselskabet« til: »Direktionen«.
2013-616; § 119, 2. pkt., ophæves.
2013-616; I § 134, 2. pkt., ændres »moderselskabet« til: »modervirksomheden«.
2013-616; I § 139, stk. 1, 1. pkt., indsættes efter »reguleret marked«: »eller en multilateral handelsfacilitet«.
2013-616; I § 142, 1. pkt., ændres »bestyrelsesmedlemmer« til: »medlemmer til det øverste ledelsesorgan«.
2013-616; I § 143, nr. 4, indsættes efter »medarbejdere, «: »herunder regler om etablering af frivillige ordninger om medarbejderrepræsentation og det centrale ledelsesorgans adgang til at ændre kapitalselskabets vedtægter som følge heraf,«.
2013-616; I § 145, 1. pkt., ændres »En dattervirksomhed« til: »Et datterselskab«.
2013-616; I § 145, 2. pkt., ændres »dattervirksomheden« til: »datterselskabet«.
2013-616; § 147, stk. 3, affattes således:
2013-616; I § 155, stk. 3, nr. 4, ændres »§ 158, nr. 5, 6, 9, 10 og 11« til: »§ 158, nr. 2, 6, 7 og 10-12«.
2013-616; § 156, stk. 3, affattes således:
2013-616; I § 158 ændres to steder »kapitalen« til: »selskabskapitalen«.
2013-616; I § 158 indsættes efter nr. 1 som nyt nummer:
2013-616; § 159, stk. 1, affattes således:
2013-616; I § 165, stk. 5, ændres »anmeldt« til: »registreret eller anmeldt til registrering«.
2013-616; § 169, stk. 2, nr. 2, ophæves.
2013-616; I § 169, stk. 2, nr. 4, der bliver nr. 3, ændres »tegningsfristen« til: »fristen for tegning af kapitalandele«.
2013-616; I § 173, stk. 1 og 2, indsættes efter »anmeldelse«: »til registrering«.
2013-616; § 174, stk. 1, affattes således:
2013-616; I § 179, stk. 2, 2. pkt., indsættes efter »dækning for«: »selskabskapitalen og«.
2013-616; I § 181 indsættes efter 2. pkt.:
2013-616; I § 182, stk. 1, 1. pkt., ændres »mindst en ordinær« til: »den første«.
2013-616; § 182, stk. 3, affattes således:
2013-616; I § 183, stk. 1, 2. pkt., ændres »tiltrækkelige« til: »tilstrækkelige«.
2013-616; I § 183, stk. 5, indsættes som 4. og 5. pkt.:
2013-616; I § 183, stk. 6, 2. pkt., ændres »bestyrelsens protokol« til: »protokollen«.
2013-616; § 187, stk. 1, 2. pkt., ophæves.
2013-616; I § 190, stk. 2, indsættes efter 1. pkt.:
2013-616; I § 191, 2. pkt., indsættes efter »er«: »registreret eller«.
2013-616; I § 192, stk. 1, affattes således:
2013-616; I § 192, stk. 2, ændres »tegnes med« til: »forhøjes ved tegning af mindst«.
2013-616; § 192, stk. 3, ophæves.
2013-616; § 193 affattes således:
2013-616; § 197, stk. 1, 1. pkt., affattes således:
2013-616; § 219, stk. 2, affattes således:
2013-616; § 220, stk. 1, 2. pkt., ophæves.
2013-616; § 220, stk. 3, affattes således:
2013-616; § 221, stk. 1, 1. pkt., affattes således:
2013-616; § 224, stk. 1, affattes således:
2013-616; § 228 affattes således:
2013-616; § 229 affattes således:
2013-616; I § 232, stk. 3, indsættes som 4. pkt.:
2013-616; I § 233 indsættes efter stk. 4 som nyt stykke:
2013-616; § 234, stk. 2, 2. pkt., ophæves.
2013-616; § 235, stk. 1, 1. pkt., affattes således:
2013-616; I § 236 indsættes som 3. pkt.:
2013-616; I § 237, stk. 2, ændres »§ 248, stk. 2 og 3« til: »§ 248, stk. 2-4«.
2013-616; I § 238, stk. 1, ændres »fusionsplanen« til: »den påtænkte fusion, herunder en eventuel fusionsplan,«.
2013-616; § 239, stk. 1, ophæves, og i stedet indsættes:
2013-616; I § 240, stk. 2, ændres »fusionsplanen« til: »den påtænkte fusion«.
2013-616; Overskriften før § 241 affattes således:
2013-616; § 241, stk. 1, affattes således:
2013-616; I § 242, 1. pkt., indsættes efter »efter fusionen«: »i forhold til selskabets nuværende situation«.
2013-616; § 243, stk. 1, 1. pkt., affattes således:
2013-616; § 243, stk. 6, ophæves.
2013-616; Overskriften før § 244 affattes således:
2013-616; § 244 affattes således:
2013-616; § 245 affattes således:
2013-616; I § 246, stk. 3, og § 247, stk. 2, ændres »fusionsplanen« til: »oplysninger om den påtænkte fusion, herunder en eventuel fusionsplan,«.
2013-616; I § 247, stk. 1, indsættes som 2. pkt.:
2013-616; I § 248, indsættes efter stk. 1 som nyt stykke:
2013-616; § 248, stk. 2, der bliver stk. 3, affattes således:
2013-616; I § 248, stk. 3, der bliver stk. 4, ændres »kravene i stk. 2« til: »kravene i stk. 3«.
2013-616; I § 249, stk. 3, ændres »planen« til: »den påtænkte fu­sion«.
2013-616; § 250 affattes således:
2013-616; § 251, stk. 1 og 2, affattes således:
2013-616; I § 253 ændres »§ 244, stk. 1, 1. og 2. pkt., og stk. 2, 1. pkt.,« til: »§ 244, stk. 1, 2 og 5,«.
2013-616; I § 254, stk. 1, ændres »nystiftede aktie- eller anpartsselskaber« til: »nye aktie- eller anpartsselskaber, der dannes ved spaltningens gennemførelse,«, og »nystiftede kapitalselskaber« til: »nye kapitalselskaber, der dannes ved spaltningens gennemførelse«.
2013-616; I § 254, stk. 2, ændres »spaltningsplanens offentliggørelse« til: »Erhvervsstyrelsens offentliggørelse, jf. § 262, stk. 5, vedrørende § 262, stk. 1 eller 2«.
2013-616; § 254, stk. 3, affattes således:
2013-616; I § 255, stk. 2, ændres »§ 266, stk. 2 og 3« til: »§ 266, stk. 2, 3 og 4«.
2013-616; I § 255, stk. 5 og 6, indsættes efter »stk. 3, nr. 3,«: »eller § 266, stk. 3,«.
2013-616; I § 256, stk. 1, ændres »spaltningsplanen« til: »den påtænkte spaltning, herunder en eventuel spaltningsplan,«.
2013-616; § 257, stk. 1, ophæves, og i stedet indsættes:
2013-616; I § 258, stk. 2, ændres »spaltningsplanen« til: »den påtænkte spaltning«.
2013-616; Overskriften før § 259 affattes således:
2013-616; § 259, stk. 1, affattes således:
2013-616; I § 260, 1. pkt., indsættes efter »efter spaltningen«: »i forhold til selskabets nuværende situation«.
2013-616; § 261, stk. 1, 1. pkt., affattes således:
2013-616; § 261, stk. 6, ophæves.
2013-616; Overskriften før § 262 affattes således:
2013-616; § 262 affattes således:
2013-616; § 263 affattes således:
2013-616; I § 265, stk. 1, indsættes som 2. pkt.:
2013-616; I § 265, stk. 2, ændres »spaltningsplanen« til: »oplysninger om den påtænkte spaltning, herunder en eventuel spaltningsplan,«.
2013-616; I § 266 indsættes efter stk. 1 som nyt stykke:
2013-616; § 266, stk. 2, der bliver stk. 3, affattes således:
2013-616; I § 266, stk. 3, der bliver stk. 4, ændres »kravene i stk. 2« til: »kravene i stk. 3«.
2013-616; I § 267, stk. 3, ændres »planen« til: »den påtænkte spaltning«.
2013-616; § 268 affattes således:
2013-616; § 269, stk. 1 og 2, affattes således:
2013-616; I § 271 indsættes som 2. pkt.:
2013-616; § 272, stk. 1, affattes således:
2013-616; § 274, stk. 1, ophæves, og i stedet indsættes:
2013-616; I § 274, stk. 2, der bliver stk. 3, og § 294, stk. 2, der bliver stk. 3, udgår »eventuel«.
2013-616; I § 277, 1. pkt., indsættes efter »efter fusionen«: »i forhold til selskabets nuværende situation«.
2013-616; § 278, stk. 1, 1. pkt., affattes således:
2013-616; § 278, stk. 6, ophæves.
2013-616; Overskriften før § 279 affattes således:
2013-616; § 279 affattes således:
2013-616; § 280, stk. 1 og 2, affattes således:
2013-616; I § 280, stk. 5, og § 300, stk. 5, indsættes efter »forud for«: »eller på«.
2013-616; I 282, stk. 1, indsættes som 2. pkt.:
2013-616; I § 286, stk. 1, 2. pkt., ændres »§ 109« til: »§ 110«.
2013-616; § 287 affattes således:
2013-616; § 288, stk. 1, affattes således:
2013-616; § 289, stk. 1, ophæves, og i stedet indsættes:
2013-616; I § 289, stk. 4, der bliver stk. 5, ændres »stk. 2« til: »stk. 3«.
2013-616; I § 291, stk. 1, indsættes som 2. pkt.:
2013-616; § 292, stk. 1, affattes således:
2013-616; § 294, stk. 1, ophæves, og i stedet indsættes:
2013-616; I § 297, 1. pkt., indsættes efter »efter spaltningen«: »i forhold til selskabets nuværende situation«.
2013-616; § 298, stk. 1, 1. pkt., affattes således:
2013-616; § 298, stk. 6, ophæves.
2013-616; Overskriften før § 299 affattes således:
2013-616; § 299 affattes således:
2013-616; § 300, stk. 1 og 2, affattes således:
2013-616; I § 302, stk. 1, indsættes som 2. pkt.:
2013-616; I § 305, stk. 2, ændres »der skal deltage« til: »der deltager«.
2013-616; § 307 affattes således:
2013-616; § 308, stk. 1, affattes således:
2013-616; § 309, stk. 1, ophæves, og i stedet indsættes:
2013-616; I § 309, stk. 4, der bliver stk. 5, ændres »stk. 2« til: »stk. 3«.
2013-616; I § 312, stk. 1, ændres »§ 33« til: »§§ 3-14«.
2013-616; Efter § 318 indsættes som nyt kapitel:
2013-616; I § 319, stk. 1, 2. pkt., og § 324, stk. 1, 2. pkt., ændres »en vurderingsberetning, der udarbejdes efter §§ 36-38« til: »en vurderingsberetning, der udarbejdes efter §§ 36 og 37, henholdsvis en ledelseserklæring efter reglerne i § 38«.
2013-616; I § 319, stk. 1, indsættes som 5. pkt.:
2013-616; I § 324, stk. 1, indsættes som 5. pkt.:
2013-616; § 326 affattes således:
2013-616; I § 327, stk. 1, ændres »omdannelsesplanen forklares og begrundes« til: »den påtænkte omdannelse, herunder en eventuel omdannelsesplan, forklares og begrundes, jf. dog stk. 2«.
2013-616; § 328 affattes således:
2013-616; I overskriften før § 330 ændres »omdannelsesplanen« til: »den påtænkte omdannelse, herunder en eventuel omdannelsesplan«.
2013-616; § 330, stk. 1, affattes således:
2013-616; I § 331, 1. pkt., indsættes efter »efter omdannelsen«: »i forhold til selskabets nuværende situation«.
2013-616; § 332, stk. 1, 1. pkt., affattes således:
2013-616; § 332, stk. 6, ophæves.
2013-616; Overskriften før § 333 affattes således:
2013-616; § 333 affattes således:
2013-616; § 334 affattes således:
2013-616; § 335, stk. 1, ophæves, og i stedet indsættes:
2013-616; § 337 affattes således:
2013-616; I overskriften til kapitel 18 og i § 338, § 339, stk. 6, og § 340, stk. 3, ændres »alternativ markedsplads« til: »multilateral handelsfacilitet«.
2013-616; § 347, stk. 1, affattes således:
2013-616; Efter § 357 indsættes som nyt kapitel:
2013-616; I § 361, stk. 2, indsættes efter »erstatningspligt for«: »revisorer,«.
2013-616; § 367, stk. 1, affattes således:
2013-616; § 367, stk. 4, affattes således:
2013-616; I § 1 indsættes efter stk. 2 som nyt stykke:
2013-616; § 3, 1. pkt., affattes således:
2013-616; I § 3 indsættes som stk. 2:
2013-616; I § 21 a indsættes efter stk. 1 som nyt stykke:
2013-616; I § 21 b indsættes efter stk. 1 som nyt stykke:
2013-616; I § 21 c, stk. 1, ændres »jf. dog stk. 2« til: »jf. dog stk. 3«.
2013-616; I § 21 c indsættes efter stk. 1 som nyt stykke:
2013-616; I § 21 d, stk. 1, ændres »jf. dog stk. 2« til: »jf. dog stk. 3«.
2013-616; I § 21 d indsættes efter stk. 1 som nyt stykke:
2013-616; § 35 b, stk. 1, affattes således:
2013-616; I § 35 b, stk. 2 og 3, indsættes efter »virksomhedskapital«: »og overkurs«, og efter »virksomhedskapitalen«: »og overkursen«.
2013-616; Efter § 35 b indsættes:
2013-616; I Bilag 2, Skemaer for balancer og resultatopgørelser, 1. Skema for balance i kontoform (regnskabsklasse B, C og D), AKTIVER, OMSÆTNINGSAKTIVER, II. Tilgodehavender, nr. 6, indsættes efter »Krav på indbetaling af virksomhedskapital«: »og overkurs«.
2013-616; I Bilag 2, Skemaer for balancer og resultatopgørelser, 1. Skema for balance i kontoform (regnskabsklasse B, C og D), PASSIVER, EGENKAPITAL, IV. Andre reserver, nr. 4, indsættes efter »Reserve for ikke indbetalt virksomhedskapital«: »og overkurs«.
2013-616; I Bilag 2, Skemaer for balancer og resultatopgørelser, 1. Skema for balance i kontoform (regnskabsklasse B, C og D), PASSIVER, EGENKAPITAL, IV. Andre reserver, indsættes efter nr. 4 som nyt nummer:
2013-616; I Bilag 2, Skemaer for balancer og resultatopgørelser, 2. Skema for balance i beretningsform (regnskabsklasse B, C og D), OMSÆTNINGSAKTIVER, II. Tilgodehavender, nr. 6, indsættes efter »Krav på indbetaling af virksomhedskapital«: »og overkurs«.
2013-616; I Bilag 2, Skemaer for balancer og resultatopgørelser, 2. Skema for balance i beretningsform (regnskabsklasse B, C og D), EGENKAPITAL, IV. Andre reserver, nr. 4, indsættes efter »Reserve for ikke indbetalt virksomhedskapital«: »og overkurs«.
2013-616; I Bilag 2, Skemaer for balancer og resultatopgørelser, 1. Skema for balance i beretningsform (regnskabsklasse B, C og D), EGENKAPITAL, IV. Andre reserver, indsættes efter nr. 4 som nyt nummer:
2013-616; § 11, stk. 3, affattes således:
2013-616; I § 11 indsættes som stk. 6 og 7:
2013-616; I § 16 a, 1. pkt., ændres », at virksomheder selv kan eller skal anmelde til og registrere« til: »virksomheders anmeldelse og registrering af«.
2013-616; § 19, stk. 2, affattes således:
2013-617; I § 3, stk. 1, udgår »eller registreret revisor«.
2013-617; I § 3, stk. 1, nr. 4, ændres »stk. 7« til: »stk. 6«.
2013-617; § 3, stk. 2, 2. pkt., affattes således:
2013-617; Efter § 3 indsættes før overskriften før § 4:
2013-617; I § 4, stk. 2, indsættes som 2. pkt.:
2013-617; I § 33, stk. 1, 3. pkt., ændres »3 medlemmer skal være statsautoriserede revisorer, 2 registrerede revisorer« til: »5 medlemmer skal være godkendte revisorer«.
2013-617; § 33, stk. 3 og 4, affattes således:
2013-617; § 33, stk. 6, ophæves.
2013-617; § 33, stk. 7, der bliver stk. 6, affattes således:
2013-617; I § 34, stk. 1, 3. pkt., ændres »2 medlemmer skal være statsautoriserede revisorer, 2 skal være registrerede revisorer« til: »4 medlemmer skal være godkendte revisorer,«.
2013-617; I § 43, stk. 1, 2. pkt., ændres »3 skal være statsautoriserede revisorer, 3 skal være registrerede revisorer,« til: »6 skal være godkendte revisorer«.
2013-617; I § 43, stk. 6, 2. pkt., ændres »Foreningen af Statsautoriserede Revisorer, Foreningen Registrerede Revisorer FRR« til: »FSR – danske revisorer«.
2013-617; I § 1, stk. 9, ændres »§ 199, stk. 2-4, 8 og 11« til: »§ 199, stk. 2-4, 9 og 12«.
2013-617; I § 1, stk. 15, ændres »§ 199, stk. 9 og 10« til: »§ 199, stk. 10 og 11«.
2013-617; I § 80, stk. 1, ændres »§ 199, stk. 9 og 10« til: »§ 199, stk. 10 og 11«.
2013-617; I § 183, stk. 1, indsættes efter »resultatopgørelse,«: »anden totalindkomst,«.
2013-617; § 189, stk. 2, ophæves.
2013-617; I § 199, stk. 1, 1. pkt., indsættes efter »én statsautoriseret revisor«: », og denne skal, såfremt der er tale om revision af pengeinstitutter, realkreditinstitutter eller forsikringsselskaber, tillige være certificeret af Finanstilsynet«.
2013-617; I § 199, stk. 1, 2. pkt., ændres »eller registrerede« til: »og såfremt der er tale om revision af pengeinstitutter, realkreditinstitutter eller forsikringsselskaber, skal den eller de underskrivende revisorer tillige være certificeret af Finanstilsynet«.
2013-617; I § 199, stk. 2, indsættes som 2. og 3. pkt.:
2013-617; § 199, stk. 4, affattes således:
2013-617; I § 199 indsættes efter stk. 4 som nyt stykke:
2013-617; I § 199, stk. 10, der bliver stk. 11, ændres »lov om statsautoriserede og registrerede revisorer« til: »revisorloven«.
2013-617; I § 199 indsættes som stk. 13:
2013-617; I § 355, stk. 2, nr. 6, ændres »afsætter denne« til: »fratager denne certificeringen i henhold til § 199, stk. 1, jf. § 199, stk. 4,«, og »§ 199, stk. 4-6 og 8« til: »§ 199, stk. 4-7 og 9«.
2013-617; I § 373, stk. 2, 1. pkt., ændres »§ 199, stk. 2 og 5« til: »§ 199, stk. 2 og 6«.
2013-618; § 1, stk. 2, affattes således:
2013-618; § 5, stk. 2 og 6, ophæves.
2013-618; I § 17 indsættes efter stk. 4 som nyt stykke:
2013-618; I § 26, stk. 2, ændres »§ 5, stk. 2-6,« til: »§ 5, stk. 2-4,«.
2013-618; I § 103, stk. 2, ændres »litra a, e, f og g,« til: »nr. 1 og 3,«.
2013-618; I § 138, 2. pkt., ændres »§§ 266 og 267« til: »§ 271«.
2013-618; I § 161, stk. 4, 3. pkt., ændres »§§ 274-285, 287-289« til: »§§ 257, 260, 267, 272-275, 277, 278, 280-284«.
2013-618; Efter kapitel 10 indsættes:
2013-618; Kapitel 13 affattes således:
2013-618; I § 322, stk. 2, ændres »aftale til skade for aflaster, rejsebefragter eller modtager. Det samme gælder bestemmelserne i § 501, stk. 1, nr. 6, og stk. 2, 1. pkt.« til: »aftale til skade for rejsebefragteren, for så vidt andet ikke følger af kapitel 13 i forhold til modtageren eller andre.«
2013-618; § 322, stk. 3, affattes således:
2013-618; § 325 affattes således:
2013-618; I § 335, stk. 3, 1. pkt., ændres »konnossementet« til: »transportdokumentet eller det elektroniske transportdokument«.
2013-618; I § 336, stk. 3, ændres »§ 263« til: »§ 267«.
2013-618; I § 337, stk. 2, ændres »§§ 256-259« til: »§§ 263-265, 268, 289 og 292«.
2013-618; § 338 affattes således:
2013-618; I § 339, 2. pkt., ændres »§§ 262, 266 og 267« til: »§§ 263, 264 og 271«.
2013-618; § 345, stk. 1, affattes således:
2013-618; I § 346, stk. 3, 2. pkt., ændres »§ 272« til: »§ 315«.
2013-618; § 347, stk. 1, affattes således:
2013-618; I § 351 ændres »§§ 275 og 276« til: »§ 274«.
2013-618; Overskriften før § 362 affattes således:
2013-618; I § 362, stk. 1, ændres »kvantumkontrakter« til: »volumenkontrakter«.
2013-618; I § 367, stk. 1, ændres »stykgodstransport« til: »transport af gods helt eller delvis til søs«.
2013-618; I § 370, stk. 3, 2. pkt., ændres »konnossementet« til: »et transportdokument eller et elektronisk transportdokument«.
2013-618; § 382 affattes således:
2013-618; § 383, stk. 2, affattes således:
2013-618; I § 391, stk. 2, 2. pkt., ændres »konnossement« til: »et transportdokument eller et elektronisk transportdokument«.
2013-618; I § 401, stk. 3, 3. pkt., ændres »konnossement eller et« til: »et andet«.
2013-618; I overskriften til kapitel 19 indsættes efter »forældelse«: »og søgsmålsfrist«.
2013-618; § 501, stk. 1, nr. 5 og 6, affattes således:
2013-618; I § 501, stk. 2, 1. pkt., udgår »5 og 6,«.
2013-618; I § 501, stk. 2, indsættes som 3. pkt.:
2013-618; Efter § 503 indsættes:
2013-618; Kapitel 4 ophæves.
2013-618; I § 3 indsættes som stk. 3:
2013-618; § 20 a affattes således:
2013-618; I § 18 indsættes som stk. 2:
2013-618; Efter kapitel 13 a indsættes:
2013-618; I § 40 indsættes som stk. 2:
2013-618; I § 5 indsættes efter »aftalen, jf. dog«: »§ 19 a i denne lov og«.
2013-618; I § 10 a indsættes efter stk. 1 som nyt stykke:
2013-618; I § 10 a, stk. 2, der bliver stk. 3, indsættes efter »pulje til«: »de i stk. 1 og 2 nævnte«.
2013-618; I § 10 a, stk. 3, der bliver stk. 4, ændres »den i stk. 2 nævnte« til: »den i stk. 3 nævnte«.
2013-618; I § 15, stk. 1, ændres »§ 18 d« til: »§ 18 e«.
2013-618; Overskriften før § 18 a affattes således:
2013-618; §§ 18 c og 18 d med tilhørende overskrifter ophæves, og i stedet indsættes:
2013-618; Efter § 19 indsættes før overskriften før § 20:
2013-618; I § 35, stk. 1, ændres »§ 18 d« til: »18 e«, og »§ 18 c, stk. 2 og 3,« ændres til: »§ 18 d, stk. 2 og 3,«.
2013-618; I § 37, stk. 1, indsættes efter »aftalen, jf. dog«: »§ 19 a i denne lov og«.
2013-618; I § 47, stk. 1, indsættes efter »aftalen, jf. dog«: »§ 19 a i denne lov og«.
2013-618; § 49 affattes således:
2013-618; § 65 affattes således:
2013-618; § 2, nr. 26, ophæves.
2013-618; § 3, nr. 2, ophæves.
2013-618; § 5, nr. 2, ophæves.
2013-618; § 1, nr. 30, ophæves.
2013-619; § 1, stk. 3, affattes således:
2013-619; § 2 affattes således:
2013-62; Overskriften før § 135 affattes således:
2013-62; I § 135 indsættes som stk. 2:
2013-620; I § 12 d, stk. 1, 1. pkt., indsættes efter »anmeldelse«: », jf. dog § 12 h, stk. 5, 3. pkt.,«.
2013-620; I § 12 d indsættes som stk. 7:
